collision_system: Pb+Pb
collision_energy: 5.02TeV
particle_type: UpBar
centrality: 30-40%
 12.8367346939 0.7693696295 0.2698841001
 12.8367346939 0.8975979010 0.2581596844
 12.8367346939 1.0258261726 0.2480871883
 12.8367346939 1.1540544442 0.2401180392
 12.8367346939 1.2822827158 0.2340779380
 12.8367346939 1.4105109873 0.2305855492
 12.8367346939 1.5387392589 0.2290583133
 12.8367346939 1.6669675305 0.2296050711
 12.8367346939 1.7951958021 0.2319400799
 12.8367346939 1.9234240736 0.2365606311
 12.8367346939 2.0516523452 0.2433105049
 12.8367346939 2.1798806168 0.2527440014
 12.8367346939 2.3081088884 0.2639308128
 12.8367346939 2.4363371599 0.2763048096
 12.8367346939 2.5645654315 0.2887121921
 12.8367346939 2.6927937031 0.3008350764
 12.8367346939 2.8210219747 0.3105393800
 12.8367346939 2.9492502462 0.3172734072
 12.8367346939 3.0774785178 0.3208887573
 12.8367346939 3.2057067894 0.3208887573
 12.8367346939 3.3339350610 0.3172734072
 12.8367346939 3.4621633325 0.3105393800
 12.8367346939 3.5903916041 0.3008350764
 12.8367346939 3.7186198757 0.2887121921
 12.8367346939 3.8468481473 0.2763048096
 12.8367346939 3.9750764188 0.2639308128
 12.8367346939 4.1033046904 0.2527440014
 12.8367346939 4.2315329620 0.2433105049
 12.8367346939 4.3597612336 0.2365606311
 12.8367346939 4.4879895051 0.2319400799
 12.8367346939 4.6162177767 0.2296050711
 12.8367346939 4.7444460483 0.2290583133
